state,enrollment_age_6_14_pct,std3_read_std2_text_pct,access_capability_wedge_pp
Telangana,99.5,6.2,93.3
Tamil Nadu,99.9,12.0,87.9
Andhra Pradesh,99.9,15.7,84.2
Karnataka,99.7,15.9,83.8
Jammu and Kashmir,99.4,16.6,82.8
Assam,99.1,18.2,80.9
Rajasthan,97.8,18.6,79.2
Jharkhand,98.5,19.6,78.9
Tripura,99.7,20.9,78.8
Madhya Pradesh,97.5,18.8,78.7
Nagaland,98.6,20.4,78.2
Arunachal Pradesh,97.2,19.4,77.8
Meghalaya,95.9,19.5,76.4
Chhattisgarh,98.2,24.9,73.3
Gujarat,99.0,25.8,73.2
Bihar,97.0,26.1,70.9
Sikkim,99.8,30.5,69.3
Mizoram,98.9,29.7,69.2
Punjab,99.5,36.5,63.0
West Bengal,99.1,36.3,62.8
Maharashtra,99.6,37.0,62.6
Uttar Pradesh,96.1,34.3,61.8
Uttarakhand,99.2,39.4,59.8
Odisha,98.9,40.0,58.9
Haryana,98.7,44.0,54.7
Kerala,99.9,45.6,54.3
Himachal Pradesh,99.6,50.6,49.0
